bowler,runs,balls,wickets,dots,overs,economy,wkt_rate,dot_pct,Impact_Index,PP_Index,Death_Index,bowling_type,bowling_role,Powerplay,Middle,Death,Middle_Index
BJ Currie,91,78,4,40,13.0,7.0,0.3076923076923077,0.5128205128205128,0.45345258463734106,0.0,0.15944403800286483,Pace,Powerplay,0.36363636363636365,0.045454545454545456,0.18181818181818182,0.0
BM Scholtz,137,96,2,30,16.0,8.5625,0.125,0.3125,-0.910524959399191,0.0,0.0,Pace,Middle,0.0967741935483871,0.3870967741935484,0.03225806451612903,0.0
C Bosch,74,72,5,33,12.0,6.166666666666667,0.4166666666666667,0.4583333333333333,0.662580851372221,0.0,0.3876124772083903,Pace,Death,0.05555555555555555,0.2777777777777778,0.3333333333333333,0.0
CJPF Kalugamage,117,90,8,31,15.0,7.8,0.5333333333333333,0.34444444444444444,0.17422661989944876,0.0,0.5694261754650998,Pace,Middle,0.0,0.4,0.2,0.0
CV Varun,62,72,9,34,12.0,5.166666666666667,0.75,0.4722222222222222,1.585786503135705,0.0,0.0,Spinner,Middle,0.08695652173913043,0.391304347826087,0.043478260869565216,0.0
DN Wellalage,106,96,4,35,16.0,6.625,0.25,0.3645833333333333,-0.08169773045429352,0.0,0.5906692186492054,Pace,Middle,0.06896551724137931,0.3793103448275862,0.10344827586206896,0.0
DS Airee,89,78,2,32,13.0,6.846153846153846,0.15384615384615385,0.41025641025641024,-0.16725227885020832,0.0,0.0,Pace,Powerplay,0.24324324324324326,0.22972972972972974,0.05405405405405406,0.0
G Motie,106,84,6,28,14.0,7.571428571428571,0.42857142857142855,0.3333333333333333,-0.025548705716244346,0.0,0.0,Pace,Middle,0.0,0.48148148148148145,0.037037037037037035,0.0
G Stewart,157,84,3,22,14.0,11.214285714285714,0.21428571428571427,0.2619047619047619,-1.4533784840003252,0.0,-1.0418104432816095,Pace,Powerplay,0.2608695652173913,0.13043478260869565,0.21739130434782608,0.0
HH Pandya,112,84,5,38,14.0,8.0,0.35714285714285715,0.4523809523809524,0.1415647961771173,0.0,0.20493351522242775,Pace,Middle,0.17391304347826086,0.21739130434782608,0.21739130434782608,0.0
Haider Ali,93,66,1,22,11.0,8.454545454545455,0.09090909090909091,0.3333333333333333,-0.8864850031180622,0.0,0.0,Pace,Middle,0.22727272727272727,0.2727272727272727,0.0,0.0
Harmeet Singh,113,90,7,28,15.0,7.533333333333333,0.4666666666666667,0.3111111111111111,-0.015814767083231873,0.0,0.8432283025117304,Spinner,Middle,0.03571428571428571,0.42857142857142855,0.07142857142857142,0.0
J Overton,77,72,6,42,12.0,6.416666666666667,0.5,0.5833333333333334,1.1971780036550117,0.0,0.8432283025117304,Pace,Powerplay,0.25,0.15,0.2,0.0
JC Archer,151,96,6,54,16.0,9.4375,0.375,0.5625,0.24769836961752112,0.0,-1.1711779974755117,Pace,Powerplay,0.35714285714285715,0.07142857142857142,0.14285714285714285,0.0
JJ Smit,146,78,2,22,13.0,11.23076923076923,0.15384615384615385,0.28205128205128205,-1.5103847341476915,0.0,-0.46407215187069606,Pace,Powerplay,0.2857142857142857,0.09523809523809523,0.23809523809523808,0.0
JO Holder,115,77,8,38,12.833333333333334,8.96103896103896,0.6233766233766234,0.4935064935064935,0.6133707190189861,0.0,0.4132830356223889,Pace,Powerplay,0.22900763358778625,0.183206106870229,0.17557251908396945,0.0
JT Smuts,111,90,3,27,15.0,7.4,0.2,0.3,-0.5600691804592014,0.0,0.0073317451991812,Pace,Middle,0.14285714285714285,0.32142857142857145,0.07142857142857142,0.0
Junaid Siddique,105,62,5,30,10.333333333333334,10.161290322580644,0.48387096774193544,0.4838709677419355,0.051414031004582944,0.0,1.2988441278150706,Pace,Powerplay,0.26785714285714285,0.17857142857142858,0.10714285714285714,0.0
K Bhurtel,111,72,1,21,12.0,9.25,0.08333333333333333,0.2916666666666667,-1.2071292733488024,0.0,-0.4490051332118698,Pace,Middle,0.0,0.45454545454545453,0.09090909090909091,0.0
K Klein,96,66,3,25,11.0,8.727272727272727,0.2727272727272727,0.3787878787878788,-0.4261203843711437,0.0,-0.7276373189827195,Pace,Powerplay,0.21052631578947367,0.21052631578947367,0.15789473684210525,0.0
K Rabada,97,72,1,32,12.0,8.083333333333334,0.08333333333333333,0.4444444444444444,-0.45146508506831645,0.0,-0.5750443241072287,Pace,Powerplay,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0
LA Dawson,108,84,4,32,14.0,7.714285714285714,0.2857142857142857,0.38095238095238093,-0.18192081920387643,0.0,0.0,Pace,Middle,0.037037037037037035,0.4444444444444444,0.037037037037037035,0.0
LV van Beek,149,90,7,41,15.0,9.933333333333334,0.4666666666666667,0.45555555555555555,-0.030662407540932662,0.0,-0.24642909384286193,Pace,Powerplay,0.25,0.125,0.25,0.0
M Theekshana,119,93,7,43,15.5,7.67741935483871,0.45161290322580644,0.46236559139784944,0.4316660599961156,0.0,0.4887803213749424,Pace,Powerplay,0.33962264150943394,0.07547169811320754,0.16981132075471697,0.0
MA Leask,124,96,9,35,16.0,7.75,0.5625,0.3645833333333333,0.3107143803997253,0.0,-1.8933508617391537,Spinner,Middle,0.03333333333333333,0.43333333333333335,0.06666666666666667,0.0
MADI Hemantha,118,72,6,24,12.0,9.833333333333334,0.5,0.3333333333333333,-0.3532246899835826,0.0,1.603068713422438,Pace,Middle,0.0,0.45454545454545453,0.09090909090909091,0.0
MG Erasmus,83,66,8,31,11.0,7.545454545454546,0.7272727272727273,0.4696969696969697,1.0364996920192078,0.0,0.5009756437034422,Pace,Middle,0.05555555555555555,0.3333333333333333,0.2222222222222222,0.0
MJ Henry,108,72,3,31,12.0,9.0,0.25,0.4305555555555556,-0.3547213200379696,0.0,0.5897078145055911,Pace,Powerplay,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0
MJ Humphreys,105,72,5,24,12.0,8.75,0.4166666666666667,0.3333333333333333,-0.2947862217297177,0.0,-0.32248524024470376,Pace,Powerplay,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0
MR Adair,113,66,4,25,11.0,10.272727272727273,0.36363636363636365,0.3787878787878788,-0.5655766775447695,0.0,-0.646318481992032,Pace,Powerplay,0.35294117647058826,0.0,0.29411764705882354,0.0
MRJ Watt,140,84,2,26,14.0,10.0,0.14285714285714285,0.30952380952380953,-1.183979224069267,0.0,-0.37258846025617254,Spinner,Powerplay,0.20833333333333334,0.20833333333333334,0.16666666666666666,0.0
MW Forde,44,60,4,42,10.0,4.4,0.4,0.7,1.8080813924153905,0.0,0.0,Pace,Powerplay,0.42105263157894735,0.05263157894736842,0.05263157894736842,0.0
Mohammad Mohsin,72,72,4,31,12.0,6.0,0.3333333333333333,0.4305555555555556,0.4369469343604937,0.0,0.0,Pace,Middle,0.0,0.5,0.0,0.0
Mohammad Nawaz,110,90,4,36,15.0,7.333333333333333,0.26666666666666666,0.4,-0.07687428490873502,0.0,0.0,Spinner,Middle,0.06896551724137931,0.41379310344827586,0.034482758620689655,0.0
NK Yadav,101,66,5,32,11.0,9.181818181818182,0.45454545454545453,0.48484848484848486,0.19980710812060923,0.0,0.3361873264994515,Pace,Powerplay,0.21052631578947367,0.21052631578947367,0.15789473684210525,0.0
NT Ellis,94,77,5,38,12.833333333333334,7.324675324675324,0.3896103896103896,0.4935064935064935,0.48529609284392305,0.0,-0.37921771327171766,Pace,Powerplay,0.22900763358778625,0.183206106870229,0.17557251908396945,0.0
Nadeem Khan,102,66,0,22,11.0,9.272727272727273,0.0,0.3333333333333333,-1.2391127497728718,0.0,0.0,Pace,Middle,0.14285714285714285,0.3333333333333333,0.047619047619047616,0.0
O Davidson,106,72,3,20,12.0,8.833333333333334,0.25,0.2777777777777778,-0.8327996396972878,0.0,0.0,Pace,Middle,0.041666666666666664,0.4583333333333333,0.0,0.0
R Trumpelmann,159,96,1,37,16.0,9.9375,0.0625,0.3854166666666667,-1.077376159870482,0.0,-0.6460300607489478,Pace,Powerplay,0.2962962962962963,0.1111111111111111,0.18518518518518517,0.0
S Joseph,124,96,8,43,16.0,7.75,0.5,0.4479166666666667,0.46508564466471625,0.0,0.12674553910097378,Pace,Middle,0.08,0.28,0.28,0.0
S Lamichhane,127,78,1,29,13.0,9.76923076923077,0.07692307692307693,0.3717948717948718,-1.0591427147199788,0.0,0.0,Pace,Middle,0.04,0.44,0.04,0.0
SC van Schalkwyk,101,89,13,40,14.833333333333334,6.808988764044943,0.8764044943820224,0.449438202247191,1.420867543130691,0.0,0.6910533094378111,Pace,Powerplay,0.2709677419354839,0.15483870967741936,0.14838709677419354,0.0
SM Curran,118,82,7,34,13.666666666666666,8.634146341463415,0.5121951219512195,0.4146341463414634,0.19376143870020426,0.0,0.21253912986261203,Pace,Death,0.14516129032258066,0.1935483870967742,0.3225806451612903,0.0
SN Netravalkar,134,72,6,24,12.0,11.166666666666666,0.5,0.3333333333333333,-0.6308105586047507,0.0,-0.24666944487876558,Pace,Death,0.2777777777777778,0.05555555555555555,0.3333333333333333,0.0
Saad Bin Zafar,82,60,4,24,10.0,8.2,0.4,0.4,0.010054980488841002,0.0,0.0,Pace,Middle,0.1,0.4,0.0,0.0
Shadab Khan,88,78,5,25,13.0,6.769230769230769,0.38461538461538464,0.32051282051282054,0.010289488594198426,0.0,0.0,Spinner,Middle,0.0,0.48,0.04,0.0
Shakeel Ahmed,89,60,5,20,10.0,8.9,0.5,0.3333333333333333,-0.15891458194876468,0.0,0.0,Pace,Powerplay,0.3,0.2,0.0,0.0
Sikandar Raza,70,60,1,14,10.0,7.0,0.1,0.23333333333333334,-0.9010705212863458,0.0,-0.6003963729078425,Pace,Middle,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.0
Usman Tariq,68,69,8,35,11.5,5.913043478260869,0.6956521739130435,0.5072463768115942,1.438973986116469,0.0,1.050523055769897,Pace,Middle,0.0,0.34285714285714286,0.3142857142857143,0.0
