batter,matches,runs,balls,SR,balls_Death,balls_Early_Middle,balls_Late_Middle,balls_PP,runs_Death,runs_Early_Middle,runs_Late_Middle,runs_PP,dots_Death,dots_Early_Middle,dots_Late_Middle,dots_PP,boundaries_Death,boundaries_Early_Middle,boundaries_Late_Middle,boundaries_PP,rotation_Death,rotation_Early_Middle,rotation_Late_Middle,rotation_PP,SR_Death,SR_Early_Middle,SR_Late_Middle,SR_PP,dot_pct_Death,dot_pct_Early_Middle,dot_pct_Late_Middle,dot_pct_PP,boundary_pct_Death,boundary_pct_Early_Middle,boundary_pct_Late_Middle,boundary_pct_PP,rotation_pct_Death,rotation_pct_Early_Middle,rotation_pct_Late_Middle,rotation_pct_PP,consistency,SR_z,Cons_z,Opener_Score,Anchor_Score,Middle_Score,Finisher_Score
L Steenkamp,4,116,86,134.88372093023256,0.0,18.0,9.0,59.0,0.0,16.0,11.0,89.0,0.0,10.0,3.0,21.0,0.0,2.0,1.0,14.0,0.0,6.0,5.0,24.0,0.0,88.88888888888889,122.22222222222223,150.84745762711864,0.0,0.5555555555555556,0.3333333333333333,0.3559322033898305,0.0,0.1111111111111111,0.1111111111111111,0.23728813559322035,0.0,0.3333333333333333,0.5555555555555556,0.4067796610169492,0.03442102504216702,-0.3285963211060291,0.0976205919846329,0.10387444108960044,-1.3903915785212593,-0.30782886794815534,-0.9078020275279428
L Tucker,3,139,95,146.31578947368422,12.0,26.0,39.0,18.0,38.0,25.0,55.0,21.0,2.0,8.0,10.0,10.0,7.0,2.0,6.0,3.0,3.0,16.0,23.0,5.0,316.66666666666663,96.15384615384616,141.02564102564102,116.66666666666667,0.16666666666666666,0.3076923076923077,0.2564102564102564,0.5555555555555556,0.5833333333333334,0.07692307692307693,0.15384615384615385,0.16666666666666666,0.25,0.6153846153846154,0.5897435897435898,0.2777777777777778,0.019184371534809685,0.14650862014266533,-0.555991975489628,-0.3210287059173349,0.05082891840496109,-0.0382472735916881,1.6424034495059083
MA Jones,4,142,100,142.0,1.0,21.0,23.0,55.0,0.0,33.0,34.0,75.0,1.0,7.0,6.0,21.0,0.0,4.0,4.0,12.0,0.0,10.0,13.0,22.0,0.0,157.14285714285714,147.82608695652172,136.36363636363635,1.0,0.3333333333333333,0.2608695652173913,0.38181818181818183,0.0,0.19047619047619047,0.17391304347826086,0.21818181818181817,0.0,0.47619047619047616,0.5652173913043478,0.4,0.014733912094286615,-0.032851125343726355,-0.7469050404848866,-0.16136019456448894,-0.5331971021594848,0.08812891412956567,-0.8486529883754823
NS Dhaliwal,3,107,83,128.91566265060243,17.0,22.0,24.0,20.0,25.0,21.0,33.0,28.0,4.0,6.0,5.0,8.0,3.0,1.0,4.0,5.0,10.0,15.0,15.0,7.0,147.05882352941177,95.45454545454545,137.5,140.0,0.23529411764705882,0.2727272727272727,0.20833333333333334,0.4,0.17647058823529413,0.045454545454545456,0.16666666666666666,0.25,0.5882352941176471,0.6818181818181818,0.625,0.35,0.08520566436291307,-0.5766226487592705,2.276148736544655,0.32657923575481473,1.2179945579082772,0.5425086827687892,0.023185580073846926
P Nissanka,4,199,127,156.69291338582678,11.0,27.0,21.0,68.0,28.0,30.0,36.0,105.0,1.0,6.0,4.0,24.0,4.0,2.0,4.0,17.0,6.0,19.0,13.0,27.0,254.54545454545453,111.11111111111111,171.42857142857142,154.41176470588235,0.09090909090909091,0.2222222222222222,0.19047619047619047,0.35294117647058826,0.36363636363636365,0.07407407407407407,0.19047619047619047,0.25,0.5454545454545454,0.7037037037037037,0.6190476190476191,0.39705882352941174,0.024901996302671658,0.5777711539413248,-0.31072083359668234,0.33965589720300066,0.6599574516107595,0.5187508681167725,1.0691181007894461
SA Yadav,4,162,119,136.1344537815126,29.0,46.0,36.0,8.0,58.0,44.0,52.0,8.0,9.0,17.0,10.0,3.0,10.0,4.0,6.0,1.0,10.0,25.0,20.0,4.0,200.0,95.65217391304348,144.44444444444443,100.0,0.3103448275862069,0.3695652173913043,0.2777777777777778,0.375,0.3448275862068966,0.08695652173913043,0.16666666666666666,0.125,0.3448275862068966,0.5434782608695652,0.5555555555555556,0.5,0.02865629215169072,-0.27661715779305224,-0.14967136510608411,-0.5796445886041084,-0.24085742691237938,0.13746846425816778,0.613362772741011
SD Hope,4,154,114,135.08771929824562,3.0,25.0,29.0,57.0,1.0,28.0,54.0,71.0,2.0,7.0,4.0,27.0,0.0,2.0,6.0,12.0,1.0,16.0,19.0,18.0,33.33333333333333,112.00000000000001,186.20689655172413,124.56140350877195,0.6666666666666666,0.28,0.13793103448275862,0.47368421052631576,0.0,0.08,0.20689655172413793,0.21052631578947367,0.3333333333333333,0.64,0.6551724137931034,0.3157894736842105,0.013552597156332547,-0.32011835998453186,-0.7975803603127622,-0.4084670852124943,0.1388761488012723,0.6623398290501792,-0.7514402587652168
SO Hetmyer,4,134,84,159.52380952380955,10.0,24.0,31.0,19.0,11.0,35.0,63.0,25.0,3.0,10.0,6.0,11.0,1.0,5.0,8.0,4.0,6.0,9.0,17.0,4.0,110.00000000000001,145.83333333333331,203.2258064516129,131.57894736842107,0.3,0.4166666666666667,0.1935483870967742,0.5789473684210527,0.1,0.20833333333333334,0.25806451612903225,0.21052631578947367,0.6,0.375,0.5483870967741935,0.21052631578947367,0.01302834142712683,0.695420268640507,-0.8200695593362735,-0.018643432689572498,-1.1262885668109202,1.0737379559071252,-0.023596473572846
Sahibzada Farhan,4,219,133,164.66165413533835,19.0,39.0,23.0,52.0,39.0,57.0,38.0,85.0,3.0,10.0,4.0,25.0,6.0,6.0,5.0,15.0,10.0,23.0,14.0,12.0,205.26315789473685,146.15384615384613,165.2173913043478,163.46153846153845,0.15789473684210525,0.2564102564102564,0.17391304347826086,0.4807692307692308,0.3157894736842105,0.15384615384615385,0.21739130434782608,0.28846153846153844,0.5263157894736842,0.5897435897435898,0.6086956521739131,0.23076923076923078,0.01157474472504936,0.9089437751719245,-0.8824250543968,0.4402916021539308,0.018798667885683962,0.4482250428793745,0.8258204054505327
Tilak Varma,4,106,88,120.45454545454545,0.0,19.0,18.0,51.0,0.0,17.0,15.0,74.0,0.0,6.0,9.0,21.0,0.0,1.0,1.0,12.0,0.0,12.0,8.0,18.0,0.0,89.47368421052632,83.33333333333334,145.09803921568627,0.0,0.3157894736842105,0.5,0.4117647058823529,0.0,0.05263157894736842,0.05555555555555555,0.23529411764705882,0.0,0.631578947368421,0.4444444444444444,0.35294117647058826,0.042250323495001796,-0.9282579257042809,0.4334770095902828,-0.08231040970836369,0.37671848311764855,-0.927710432418356,-1.0277343484475931
